Unnamed: 0,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price
0,40.76402,-73.97278,Room in boutique hotel,Hotel room,5,2.0,2 baths,2.0,3.0,8.0
1,40.69099,-73.92603,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,10.0
2,40.77586,-73.96099,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,10.0
3,40.77796,-73.96073,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,10.0
4,40.7640242,-73.97106396,Room in boutique hotel,Hotel room,6,2.0,2 baths,2.0,2.0,10.0
5,40.76538,-73.97073,Room in boutique hotel,Hotel room,5,2.0,2 baths,2.0,3.0,10.0
6,40.76430253,-73.97226127,Room in boutique hotel,Hotel room,3,1.0,1 bath,1.0,1.0,10.0
7,40.76577,-73.9706,Room in boutique hotel,Hotel room,3,1.0,1 bath,1.0,2.0,10.0
8,40.76428,-73.97279,Room in boutique hotel,Hotel room,5,2.0,2 baths,2.0,3.0,10.0
9,40.77095,-73.95877,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,14.0
10,40.85143,-73.94203,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,17.0
11,40.74466,-73.91317,Private room in rental unit,Private room,3,1.0,1 shared bath,1.0,2.0,20.0
12,40.71826186,-74.00718279,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,0.0,20.0
13,40.64748,-73.94642,Private room in townhouse,Private room,1,1.0,1 shared bath,1.0,1.0,21.0
14,40.6243,-73.93449,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,1.0,22.0
15,40.5928,-73.95041,Private room in serviced apartment,Private room,1,1.0,1 shared bath,1.0,1.0,23.0
16,40.65223,-73.96163,Private room in serviced apartment,Private room,1,1.0,1 shared bath,1.0,1.0,24.0
17,40.71205992,-73.72986548,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,24.0
18,40.65808,-73.98125,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,24.0
19,40.69005,-73.92008,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,25.0
20,40.87063,-73.8983,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,25.0
21,40.70936122,-73.89881864,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,1.0,25.0
22,40.69431,-73.92991,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,26.0
23,40.69957,-73.92026,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,0.0,26.0
24,40.80169,-73.95615,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,1.0,26.0
25,40.80014,-73.95603,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,1.0,26.0
26,40.69261644,-73.92415674,Shared room in rental unit,Shared room,1,1.0,1 shared bath,0.0,0.0,26.0
27,40.65157,-73.96183,Private room in serviced apartment,Private room,1,1.0,1 shared bath,1.0,1.0,27.0
28,40.58979,-73.96986,Private room in serviced apartment,Private room,1,1.0,1 shared bath,1.0,1.0,27.0
29,40.59118592,-73.97046519,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,0.0,27.0
30,40.64652,-74.01433,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,27.0
31,40.59198,-73.96862,Private room in serviced apartment,Private room,1,1.0,1 shared bath,1.0,1.0,27.0
32,40.76506,-73.72649,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,1.0,27.0
33,40.69132,-73.9239,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,0.0,27.0
34,40.69131,-73.80846,Private room in home,Private room,2,1.0,1 shared bath,1.0,0.0,28.0
35,40.63589,-73.95124,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,1.0,28.0
36,40.63779,-73.95233,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,0.0,28.0
37,40.63789,-73.9509,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,0.0,28.0
38,40.8516481,-73.9207176,Shared room in serviced apartment,Shared room,1,1.0,1 shared bath,1.0,2.0,28.0
39,40.75809,-73.80465,Private room in rental unit,Private room,2,2.0,2 shared baths,1.0,0.0,28.0
40,40.59310099,-73.94106102,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,28.0
41,40.5926,-73.95097,Private room in serviced apartment,Private room,1,1.0,1 shared bath,1.0,1.0,28.0
45,40.75302,-73.87631,Private room in townhouse,Private room,1,1.0,1 shared bath,1.0,1.0,29.0
46,40.75339073,-73.88211576,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,29.0
47,40.68997,-73.90972,Shared room in rental unit,Shared room,1,2.0,2 shared baths,1.0,1.0,29.0
48,40.62478,-73.92881,Private room in home,Private room,2,1.5,1.5 baths,1.0,1.0,29.0
49,40.59265,-73.94913,Private room in serviced apartment,Private room,1,1.0,1 shared bath,1.0,0.0,29.0
50,40.84295,-73.9199,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,1.0,29.0
51,40.68098098,-73.94316812,Shared room in rental unit,Shared room,3,2.0,2 shared baths,1.0,3.0,29.0
52,40.86394,-73.90312,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,30.0
