latitude,longitude,coords
43.68599,-79.44476,POINT (-79.44476 43.68599)
43.76400994,-79.3261196,POINT (-79.32611959885489 43.764009943460096)
43.6770248,-79.5646773,POINT (-79.5646773 43.67702480000001)
43.64167754,-79.38096517,POINT (-79.38096517419329 43.641677539100414)
43.63746,-79.40085,POINT (-79.40085 43.63746)
43.64353,-79.52045,POINT (-79.52045 43.64353)
43.80691,-79.20882,POINT (-79.20882 43.80691)
43.65954,-79.4666,POINT (-79.4666 43.65954)
43.64102,-79.37785,POINT (-79.37785 43.64102)
43.6441279,-79.3894049,POINT (-79.3894049 43.6441279)
43.66002,-79.44892,POINT (-79.44892 43.66002)
43.64424128,-79.43048209,POINT (-79.43048209172139 43.64424127861943)
43.64880378,-79.38726673,POINT (-79.38726673462617 43.64880378447748)
43.64237,-79.39345,POINT (-79.39345 43.64237)
43.73823575,-79.29481358,POINT (-79.2948135792938 43.738235751825165)
43.64695,-79.39338,POINT (-79.39338 43.64695)
43.64216,-79.39588,POINT (-79.39588 43.64216)
43.78804878,-79.41049651,POINT (-79.41049651435887 43.78804877962202)
43.63082,-79.48534,POINT (-79.48534 43.63082)
43.67151,-79.43758,POINT (-79.43758 43.67151)
43.76965,-79.49873,POINT (-79.49873 43.76965)
43.65474151,-79.36854099,POINT (-79.36854099285934 43.6547415132057)
43.65166258,-79.38169439,POINT (-79.38169438814401 43.65166258060716)
43.68892,-79.4017,POINT (-79.4017 43.68892)
43.6403528,-79.4299349,POINT (-79.42993489999999 43.6403528)
43.64381,-79.39167,POINT (-79.39167 43.64381)
43.77353561,-79.25360255,POINT (-79.25360254674412 43.773535607711416)
43.72577038,-79.5210439,POINT (-79.52104389667511 43.72577037764542)
43.64641727,-79.39223251,POINT (-79.39223251220903 43.64641726569743)
43.678459,-79.4980063,POINT (-79.4980063 43.678459)
43.64127649,-79.38249675,POINT (-79.3824967495857 43.64127648667261)
43.64662215,-79.39008816,POINT (-79.39008816420352 43.64662214833843)
43.75878,-79.40393,POINT (-79.40393 43.75878)
43.78932823,-79.19513478,POINT (-79.19513478042602 43.78932823309162)
43.74907,-79.40607,POINT (-79.40607 43.74907)
43.60436,-79.52969,POINT (-79.52969 43.60436)
43.65551,-79.40162,POINT (-79.40162 43.65551)
43.6429622,-79.3806142,POINT (-79.3806142 43.6429622)
43.64580039,-79.42846635,POINT (-79.42846634821129 43.64580038818975)
43.76358,-79.49631,POINT (-79.49631 43.76358)
43.81107,-79.21615,POINT (-79.21615 43.81107)
43.7485131,-79.2506472,POINT (-79.2506472 43.7485131)
43.66906626,-79.43534464,POINT (-79.43534463644028 43.66906625712498)
43.65539,-79.39829,POINT (-79.39829 43.65539)
43.6396638,-79.3792757,POINT (-79.3792757 43.6396638)
43.6474271,-79.3995038,POINT (-79.39950379999999 43.64742709999999)
43.71254986,-79.5648789,POINT (-79.56487890332937 43.712549856395455)
43.6690866,-79.3997824,POINT (-79.39978239999999 43.6690866)
43.65172415,-79.56687361,POINT (-79.56687360582264 43.65172414971522)
43.63866,-79.54983,POINT (-79.54983 43.63866)
43.72152,-79.25496,POINT (-79.25496 43.72152)
43.65633,-79.36426,POINT (-79.36426 43.65633)
43.67129122,-79.39481071,POINT (-79.39481070947858 43.67129122195154)
43.74801,-79.28645,POINT (-79.28645 43.74801)
43.6330499,-79.4857021,POINT (-79.48570210000001 43.6330499)
43.67978843,-79.33093437,POINT (-79.3309343663546 43.6797884325333)
43.680836,-79.349274,POINT (-79.349274 43.680836)
43.67712,-79.38119,POINT (-79.38119 43.67712)
43.7487233,-79.34314872,POINT (-79.34314872215266 43.74872330266176)
43.65554,-79.42262,POINT (-79.42262 43.65554)
43.6423205,-79.4243624,POINT (-79.42436239999999 43.6423205)
43.67724,-79.40177,POINT (-79.40177 43.67724)
43.6732907,-79.3929303,POINT (-79.3929303 43.6732907)
43.74968953,-79.44434988,POINT (-79.44434988033424 43.74968953411031)
43.64194089,-79.38159348,POINT (-79.38159347875863 43.64194088754368)
43.67152102,-79.46300702,POINT (-79.46300702134872 43.67152101554135)
43.7535832,-79.6038815,POINT (-79.6038815 43.7535832)
43.65425,-79.36579,POINT (-79.36579 43.65425)
43.66026,-79.41657,POINT (-79.41657 43.66026)
43.75656955,-79.51186094,POINT (-79.51186093805197 43.756569551974)
43.66367,-79.37024,POINT (-79.37024 43.66367)
43.64239,-79.4038,POINT (-79.4038 43.64239)
43.66905203,-79.45112756,POINT (-79.45112755866188 43.66905202949855)
43.63807557,-79.3997153,POINT (-79.39971529590426 43.63807556973286)
43.76271,-79.34642,POINT (-79.34642 43.76271)
43.6451,-79.39153,POINT (-79.39153 43.6451)
43.64126,-79.44031,POINT (-79.44031 43.64126)
43.66392,-79.34049,POINT (-79.34049 43.66392)
43.65472,-79.37838,POINT (-79.37838 43.65472)
43.64887354,-79.40996912,POINT (-79.40996912422675 43.64887353634449)
43.80648556,-79.20861092,POINT (-79.20861091999745 43.80648556375162)
43.76072,-79.49562,POINT (-79.49562 43.76072)
43.6610955,-79.4513398,POINT (-79.4513398 43.66109549999999)
43.65784,-79.33893,POINT (-79.33893 43.65784)
43.65244,-79.37035,POINT (-79.37035 43.65244)
43.76247,-79.41042,POINT (-79.41042 43.76247)
43.66899,-79.39824,POINT (-79.39824 43.66899)
43.64239987,-79.38265002,POINT (-79.38265001677661 43.64239987133824)
